"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ex1_1.nlogo"
"Simple MIS"
"04/26/2024 17:29:44:560 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-nodes","circle-layout?","mode","edge-factor","[step]","msg","bits","max [reps] of turtles"
"240","550","true","Biology inspired Enhanced","15","5","4201","4201","5"
"249","50","true","Biology inspired","3","1","190","190","6"
"250","150","true","Biology inspired","3","1","572","572","8"
"248","550","true","Luby's","3","6","12633","115002","6"
"253","50","true","Biology inspired Enhanced","3","4","203","203","4"
"251","300","true","Biology inspired","3","1","1186","1186","9"
"254","150","true","Biology inspired Enhanced","3","4","652","652","4"
"255","300","true","Biology inspired Enhanced","3","6","1296","1296","6"
"257","50","true","Simple MIS","7","16","1666","1666","16"
"258","150","true","Simple MIS","7","45","5391","5391","45"
"256","550","true","Biology inspired Enhanced","3","6","2480","2480","6"
"252","550","true","Biology inspired","3","1","2322","2322","10"
"259","300","true","Simple MIS","7","96","17704","17704","96"
"261","50","true","Luby's","7","7","3364","18986","7"
"262","150","true","Luby's","7","6","6024","43546","6"
"263","300","true","Luby's","7","6","12188","100293","6"
"265","50","true","Biology inspired","7","1","233","233","6"
"266","150","true","Biology inspired","7","1","750","750","8"
"260","550","true","Simple MIS","7","71","30571","30571","71"
"267","300","true","Biology inspired","7","1","1622","1622","9"
"269","50","true","Biology inspired Enhanced","7","2","266","266","2"
"270","150","true","Biology inspired Enhanced","7","5","817","817","5"
"264","550","true","Luby's","7","6","26307","239480","6"
"271","300","true","Biology inspired Enhanced","7","3","1943","1943","3"
"273","50","true","Simple MIS","15","95","3356","3356","95"
"274","150","true","Simple MIS","15","93","6914","6914","93"
"272","550","true","Biology inspired Enhanced","7","5","3627","3627","5"
"268","550","true","Biology inspired","7","1","3020","3020","10"
"277","50","true","Luby's","15","2","3132","17677","2"
"275","300","true","Simple MIS","15","191","27676","27676","191"
